"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"285","2014-01-01 00:58:33","2014-01-01 01:03:18","237","E 11 St & 2 Ave","40.73047309","-73.98672378","403","E 2 St & 2 Ave","40.72502876","-73.99069656","18947","Subscriber","1984","1"
"1054","2014-01-01 00:58:42","2014-01-01 01:16:16","402","Broadway & E 22 St","40.7403432","-73.98955109","385","E 55 St & 2 Ave","40.75797322","-73.96603308","17942","Subscriber","1957","1"
"394","2014-01-01 00:58:59","2014-01-01 01:05:33","267","Broadway & W 36 St","40.75097711","-73.98765428","490","8 Ave & W 33 St","40.751551","-73.993934","15244","Customer",\N,"0"
"367","2014-01-01 00:59:09","2014-01-01 01:05:16","267","Broadway & W 36 St","40.75097711","-73.98765428","490","8 Ave & W 33 St","40.751551","-73.993934","19466","Customer",\N,"0"
"232","2014-01-01 00:59:16","2014-01-01 01:03:08","427","State St","40.70251526","-74.01427023","351","Front St & Maiden Ln","40.70530954","-74.00612572","17890","Subscriber","1978","1"
"728","2014-01-01 00:59:27","2014-01-01 01:11:35","459","W 20 St & 11 Ave","40.746745","-74.007756","348","W Broadway & Spring St","40.72490985","-74.00154702","19307","Subscriber","1987","1"
"784","2014-01-01 00:59:38","2014-01-01 01:12:42","291","Madison St & Montgomery St","40.713126","-73.984844","375","Mercer St & Bleecker St","40.72679454","-73.99695094","16346","Subscriber","1984","1"
"444","2014-01-01 01:00:15","2014-01-01 01:07:39","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","449","W 52 St & 9 Ave","40.76461837","-73.98789473","20331","Subscriber","1977","1"
"1307","2014-01-01 01:00:24","2014-01-01 01:22:11","82","St James Pl & Pearl St","40.71117416","-74.00016545","444","Broadway & W 24 St","40.7423543","-73.98915076","18124","Subscriber","1990","1"
"268","2014-01-01 01:00:26","2014-01-01 01:04:54","238","Bank St & Washington St","40.7361967","-74.00859207","116","W 17 St & 8 Ave","40.74177603","-74.00149746","20797","Subscriber","1971","1"
"626","2014-01-01 01:00:58","2014-01-01 01:11:24","511","E 14 St & Avenue B","40.72938685","-73.97772429","403","E 2 St & 2 Ave","40.72502876","-73.99069656","17553","Subscriber","1983","1"
"623","2014-01-01 01:01:06","2014-01-01 01:11:29","511","E 14 St & Avenue B","40.72938685","-73.97772429","403","E 2 St & 2 Ave","40.72502876","-73.99069656","14970","Subscriber","1990","1"
"1894","2014-01-01 01:01:07","2014-01-01 01:32:41","458","11 Ave & W 27 St","40.751396","-74.005226","385","E 55 St & 2 Ave","40.75797322","-73.96603308","18590","Subscriber","1958","1"
"765","2014-01-01 01:02:02","2014-01-01 01:14:47","128","MacDougal St & Prince St","40.72710258","-74.00297088","325","E 19 St & 3 Ave","40.73624527","-73.98473765","18905","Subscriber","1900","1"
"730","2014-01-01 01:02:03","2014-01-01 01:14:13","128","MacDougal St & Prince St","40.72710258","-74.00297088","325","E 19 St & 3 Ave","40.73624527","-73.98473765","20255","Subscriber","1960","2"
"466","2014-01-01 01:02:26","2014-01-01 01:10:12","120","Lexington Ave & Classon Ave","40.68676793","-73.95928168","313","Washington Ave & Park Ave","40.69610226","-73.96751037","18091","Subscriber","1982","1"
"1357","2014-01-01 01:03:21","2014-01-01 01:25:58","225","W 14 St & The High Line","40.74195138","-74.00803013","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","15269","Customer",\N,"0"
"996","2014-01-01 01:03:40","2014-01-01 01:20:16","364","Lafayette Ave & Classon Ave","40.68900443","-73.96023854","242","Flushing Ave & Carlton Ave","40.69788349","-73.97350332","14692","Subscriber","1982","1"
"332","2014-01-01 01:04:47","2014-01-01 01:10:19","504","1 Ave & E 15 St","40.73221853","-73.98165557","496","E 16 St & 5 Ave","40.73726186","-73.99238967","21116","Subscriber","1969","1"
"438","2014-01-01 01:04:54","2014-01-01 01:12:12","2010","Grand St & Greene St","40.72165481","-74.00234737","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","20087","Subscriber","1979","1"
"400","2014-01-01 01:05:14","2014-01-01 01:11:54","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","436","Hancock St & Bedford Ave","40.68216564","-73.95399026","20364","Subscriber","1986","1"
"403","2014-01-01 01:05:15","2014-01-01 01:11:58","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","436","Hancock St & Bedford Ave","40.68216564","-73.95399026","17785","Subscriber","1986","1"
"1421","2014-01-01 01:06:04","2014-01-01 01:29:45","407","Henry St & Poplar St","40.700469","-73.991454","2012","E 27 St & 1 Ave","40.739445","-73.976806","18956","Subscriber","1986","1"
"1196","2014-01-01 01:06:07","2014-01-01 01:26:03","375","Mercer St & Bleecker St","40.72679454","-73.99695094","167","E 39 St & 3 Ave","40.7489006","-73.97604882","20916","Subscriber","1990","1"
"846","2014-01-01 01:06:12","2014-01-01 01:20:18","532","S 5 Pl & S 4 St","40.710451","-73.960876","531","Forsyth St & Broome St","40.71893904","-73.99266288","15430","Subscriber","1981","1"
"1170","2014-01-01 01:06:20","2014-01-01 01:25:50","455","1 Ave & E 44 St","40.75001986","-73.96905301","511","E 14 St & Avenue B","40.72938685","-73.97772429","17770","Subscriber","1960","2"
"1154","2014-01-01 01:06:29","2014-01-01 01:25:43","375","Mercer St & Bleecker St","40.72679454","-73.99695094","167","E 39 St & 3 Ave","40.7489006","-73.97604882","15359","Subscriber","1991","2"
"550","2014-01-01 01:06:47","2014-01-01 01:15:57","322","Clinton St & Tillary St","40.696192","-73.991218","414","Pearl St & Anchorage Pl","40.70281858","-73.98765762","20634","Customer",\N,"0"
"876","2014-01-01 01:06:48","2014-01-01 01:21:24","488","W 39 St & 9 Ave","40.75645824","-73.99372222","346","Bank St & Hudson St","40.73652889","-74.00618026","19971","Subscriber","1957","2"
"269","2014-01-01 01:07:01","2014-01-01 01:11:30","494","W 26 St & 8 Ave","40.74734825","-73.99723551","470","W 20 St & 8 Ave","40.74345335","-74.00004031","16191","Customer",\N,"0"
